"Section","Field","Value"
"Dataset ID","Name",""
"Dataset ID","NSPECT ID",""
"Dataset ID","Datacard URL",""
"Dataset ID","Original purpose",""
"Dataset ID","Publication",""
"Legal","License",""
"Legal","Permission",""
"Data Source","Owner",""
"Data Source","Origin",""
"Data Source","Pre-existing annotation",""
"Data Source","Data structure",""
"Data Source","Data domain",""
"Data Source","Data type",""
"Data Source","Data format",""
"Data Provisioning","Provisioning methods",""
"Data Provisioning","Data storage hardware",""
"Data Provisioning","Data storage location",""
"Data Quality Model","Properties",""
"Data Quality Model","Data currentness (bias)",""
"Data Quality Model","Data balance (bias)",""
"Data Quality Model","Data size (safety / robustness)",""
"Data Quality Model","Data identifiability (privacy)",""
"Data Quality Model","Data credibility (security)",""
"Decommissioning","Data decommissioning strategy",""
