"Section","Field","Value"
"Model ID","Name",""
"Model ID","NSPECT ID",""
"Model ID","Model version",""
"Model ID","Release date",""
"Model ID","Intended use",""
"Model ID","Owner",""
"Model ID","Deployment",""
"Model ID","Intended use case",""
"Model ID","Publication",""
"Model ID","Licensing",""
"Model Design","Model task",""
"Model Design","General logic",""
"Model Design","Model parameter size",""
"Model Design","Optimisation",""
"Model Design","Parameter function",""
"Model Design","Model architecture",""
"Model Design","Output type",""
"Model Design","Input data modality",""
"Model Design","Output data modality",""
"Infrastructure","Supported hardware",""
"Infrastructure","Supported operating system",""
"Model Training","Learning paradigm",""
"Model Training","Dataset number",""
"Model Training","Training/testing datasets intersect",""
"Model Training","Estimated training/testing compute",""
"Model Training","Link to dataset cards",""
"Model Training","Dataset size",""
"Model Training","Limitations in datasets",""
"AI Model Quality","Key quality metric",""
"AI Model Quality","Performance drivers (bias)",""
"AI Model Quality","Model weakness (bias)",""
"AI Model Quality","Performance drivers (safety)",""
"AI Model Quality","Model weakness (safety)",""
"AI Model Quality","Public benchmark results",""
"AI Model Quality","Inference performance",""
"AI Model Quality","Computational efficiency",""
"Ethics","Ethical considerations",""
