"Section","Field","Value"
"Dataset ID","Name",""
"Dataset ID","NSPECT ID",""
"Dataset ID","Datacard URL",""
"Dataset ID","Original dataset",""
"Dataset ID","Intended purpose",""
"Dataset ID","Key adaptations",""
"Dataset ID","Publication",""
"Legal","License",""
"Data Provisioning","Provisioning methods",""
"Data Provisioning","Data storage hardware",""
"Data Provisioning","Data storage location",""
"Data Sanitisation","Data sanitisation techniques",""
"Data Enrichment","Data enrichment techniques",""
"Data Enrichment","Additional data labels",""
"Data Enrichment","Data labelling tools",""
"Data Enrichment","Data labelling guidelines",""
"Data Optimisation","Data sampling techniques",""
"Data Optimisation","Data compression techniques",""
"Data Quality Model","Properties",""
"Data Quality Model","Data currentness (bias)",""
"Data Quality Model","Data balance (bias)",""
"Data Quality Model","Data size (safety / robustness)",""
"Data Quality Model","Data identifiability (privacy)",""
"Data Quality Model","Data credibility (security)",""
"Decommissioning","Data decommissioning strategy",""
